country,learners,avg_max_step,median_max_step,early_dropout_rate,persistence_category
--,382,11.049738219895287,8.5,0.2801047120418848,High Persistence
AD,1,23,23,0,High Persistence
AE,113,9.858407079646017,7,0.35398230088495575,High Persistence
AF,15,7.8,4,0.4666666666666667,Low Persistence
AG,2,12,12,0,High Persistence
AL,62,9.306451612903226,5,0.2903225806451613,High Persistence
AM,18,5.388888888888889,3,0.4444444444444444,Low Persistence
AO,15,13,11,0,High Persistence
AR,55,8.618181818181819,5,0.34545454545454546,High Persistence
AS,1,1,1,1,Low Persistence
AT,28,15.142857142857142,19,0.17857142857142858,High Persistence
AU,526,13.874524714828897,18,0.1844106463878327,High Persistence
AW,1,11,11,0,High Persistence
AZ,23,10.347826086956522,5,0.43478260869565216,Medium Persistence
BA,16,8.875,5.5,0.1875,High Persistence
BB,13,8.153846153846153,4,0.3076923076923077,High Persistence
BD,128,7.2109375,4,0.421875,Low Persistence
BE,65,11.846153846153847,12,0.26153846153846155,High Persistence
BF,3,9,5,0,High Persistence
BG,37,9.162162162162161,5,0.2702702702702703,High Persistence
BH,14,6.071428571428571,1.5,0.5714285714285714,Low Persistence
BI,4,6.5,1,0.75,Low Persistence
BJ,4,1.5,1,0.75,Low Persistence
BM,3,15,21,0.3333333333333333,High Persistence
BN,2,7,7,0.5,Low Persistence
BO,13,7.6923076923076925,8,0.3076923076923077,Medium Persistence
BR,153,11.294117647058824,9,0.26143790849673204,High Persistence
BS,5,9.8,9,0.4,High Persistence
BT,4,3.5,2,0.5,Low Persistence
BW,20,12,10,0.2,High Persistence
BY,11,8.454545454545455,4,0.45454545454545453,Medium Persistence
BZ,1,7,7,0,Medium Persistence
CA,241,13.4149377593361,18,0.18672199170124482,High Persistence
CD,7,13.571428571428571,16,0.14285714285714285,High Persistence
CG,1,1,1,1,Low Persistence
CH,66,14.242424242424242,19,0.19696969696969696,High Persistence
CI,6,12.166666666666666,12.5,0.16666666666666666,High Persistence
CL,48,7.958333333333333,3,0.4583333333333333,Medium Persistence
CM,23,7.086956521739131,3,0.4782608695652174,Low Persistence
CN,124,8.685483870967742,4,0.4032258064516129,Medium Persistence
CO,87,9.011494252873563,4,0.3448275862068966,High Persistence
CR,11,10.636363636363637,7,0.2727272727272727,High Persistence
CU,1,13,13,0,High Persistence
CW,1,21,21,0,High Persistence
CY,19,11.368421052631579,12,0.2631578947368421,High Persistence
CZ,34,10.411764705882353,6.5,0.38235294117647056,High Persistence
DE,204,12.186274509803921,13.5,0.24019607843137256,High Persistence
DJ,3,11,13,0.3333333333333333,High Persistence
DK,20,13.45,18.5,0.25,High Persistence
DO,14,10.714285714285714,5,0.42857142857142855,Medium Persistence
DZ,99,5.393939393939394,2,0.5252525252525253,Low Persistence
EC,36,5.805555555555555,3.5,0.3611111111111111,Medium Persistence
EE,18,13.88888888888889,19,0.16666666666666666,High Persistence
EG,427,5.852459016393443,2,0.5245901639344263,Low Persistence
ER,1,16,16,0,High Persistence
ES,281,11.740213523131672,10,0.2491103202846975,High Persistence
ET,47,9.893617021276595,6,0.2765957446808511,High Persistence
FI,19,15.736842105263158,19,0.10526315789473684,High Persistence
FJ,7,5.428571428571429,2,0.5714285714285714,Low Persistence
FR,219,12.54337899543379,15,0.2146118721461187,High Persistence
GA,1,4,4,0,Medium Persistence
GB,6645,13.948231753197893,18,0.17170805116629045,High Persistence
GD,1,20,20,0,High Persistence
GE,24,5.916666666666667,2.5,0.5,Low Persistence
GG,7,16.571428571428573,19,0,High Persistence
GH,191,10.780104712041885,6,0.2931937172774869,High Persistence
GI,3,14,19,0.3333333333333333,High Persistence
GM,8,12,14.5,0.125,High Persistence
GN,2,17.5,17.5,0,High Persistence
GR,94,13.297872340425531,18,0.2553191489361702,High Persistence
GT,6,10.333333333333334,10,0.3333333333333333,High Persistence
GU,1,8,8,0,High Persistence
GY,8,11.625,11,0.375,High Persistence
HK,53,8.88679245283019,5,0.3018867924528302,High Persistence
HN,4,12.75,12.5,0,High Persistence
HR,15,13.266666666666667,19,0.2,High Persistence
HT,3,9,7,0.3333333333333333,High Persistence
HU,34,10.029411764705882,6,0.23529411764705882,High Persistence
ID,129,9.542635658914728,5,0.24806201550387597,High Persistence
IE,187,13.283422459893048,15,0.17647058823529413,High Persistence
IL,20,8.85,3.5,0.35,High Persistence
IM,10,14.6,16,0,High Persistence
IN,1931,7.5463490419471775,4,0.3997928534438115,Medium Persistence
