country,learners,avg_steps_completed,median_steps_completed,dropout_rate
WF,1,61,61,0
CW,1,60,60,0
SR,1,60,60,0
VC,1,60,60,0
SX,1,58,58,0
JE,3,54.333333333333336,57,0
ME,3,40.333333333333336,60,0
SK,9,38.22222222222222,39,0.1111111111111111
TJ,2,35.5,35.5,0
MX,523,34.736137667304014,48,0.15678776290630975
AD,1,34,34,0
NA,16,30.625,32.5,0.1875
TL,2,30.5,30.5,0
CH,66,29.772727272727273,18,0.3181818181818182
GG,7,29.285714285714285,23,0
CD,7,27.714285714285715,16,0.2857142857142857
LR,13,27.692307692307693,8,0.38461538461538464
AT,28,27.5,11,0.35714285714285715
IM,10,26.6,17.5,0
AU,526,26.583650190114067,16,0.21673003802281368
GB,6645,26.44334085778781,17,0.19518434913468774
DK,20,26,18,0.1
GR,94,25.56382978723404,10,0.30851063829787234
MO,5,25.2,4,0.2
CA,241,24.900414937759336,12,0.23236514522821577
AO,15,24.666666666666668,8,0.2
PR,5,24.4,2,0.4
BM,3,23.666666666666668,12,0.3333333333333333
DO,14,23.5,2.5,0.5
FI,19,23.473684210526315,18,0.3157894736842105
BW,20,23.25,10,0.15
TG,4,23.25,21,0
NZ,70,23.142857142857142,8,0.21428571428571427
UY,4,23,16,0.25
IE,187,22.871657754010695,13,0.22459893048128343
SE,56,22.839285714285715,10.5,0.17857142857142858
NL,220,22.563636363636363,11,0.21818181818181817
KR,18,22.27777777777778,7.5,0.3333333333333333
PA,3,22,9,0
MT,7,21.714285714285715,5,0.14285714285714285
ES,281,21.416370106761565,7,0.23843416370106763
CR,11,21.363636363636363,7,0.18181818181818182
MW,10,20.5,4,0.2
DE,204,20.333333333333332,7,0.29411764705882354
TH,56,20.25,7.5,0.35714285714285715
JP,39,20.153846153846153,3,0.23076923076923078
PG,10,19.8,8.5,0.3
PY,4,19.75,9,0.5
EE,18,19.61111111111111,12.5,0.2222222222222222
FR,219,19.38812785388128,6,0.2922374429223744
HN,4,19.25,7,0
CY,19,19.105263157894736,11,0.2631578947368421
BE,65,19.076923076923077,8,0.3384615384615385
US,1062,18.90018832391714,6,0.2890772128060264
MZ,8,18.875,8.5,0.375
IT,246,18.70731707317073,7,0.2886178861788618
ZA,215,18.623255813953488,5,0.3209302325581395
MY,122,18.59016393442623,4,0.3360655737704918
PT,65,18.50769230769231,7,0.35384615384615387
SS,3,18.333333333333332,0,0.6666666666666666
JO,37,18.324324324324323,2,0.40540540540540543
NP,47,18,4,0.3829787234042553
VE,32,17.84375,4.5,0.1875
CI,6,17.833333333333332,7,0.16666666666666666
BR,153,17.45751633986928,5,0.3137254901960784
RO,89,17.415730337078653,8,0.2808988764044944
BS,5,17,8,0.2
GH,191,16.926701570680628,3,0.3036649214659686
SI,9,16.77777777777778,3,0.2222222222222222
MU,16,16.375,3.5,0.1875
