country,learners,avg_max_step,median_max_step,early_dropout_rate,persistence_category
AS,1,1,1,1,Low Persistence
CG,1,1,1,1,Low Persistence
RE,1,1,1,1,Low Persistence
TD,1,1,1,1,Low Persistence
LC,5,3,2,0.8,Low Persistence
BI,4,6.5,1,0.75,Low Persistence
BJ,4,1.5,1,0.75,Low Persistence
MV,3,1.6666666666666667,1,0.6666666666666666,Low Persistence
MN,8,5.875,2,0.625,Low Persistence
TN,51,3.980392156862745,1,0.6078431372549019,Low Persistence
BH,14,6.071428571428571,1.5,0.5714285714285714,Low Persistence
FJ,7,5.428571428571429,2,0.5714285714285714,Low Persistence
IQ,42,6,2,0.5714285714285714,Low Persistence
DZ,99,5.393939393939394,2,0.5252525252525253,Low Persistence
EG,427,5.852459016393443,2,0.5245901639344263,Low Persistence
YE,27,7.333333333333333,2,0.5185185185185185,Low Persistence
MA,114,5.7631578947368425,2,0.5087719298245614,Low Persistence
BN,2,7,7,0.5,Low Persistence
BT,4,3.5,2,0.5,Low Persistence
GE,24,5.916666666666667,2.5,0.5,Low Persistence
LU,6,7.666666666666667,3,0.5,Low Persistence
MG,2,6.5,6.5,0.5,Low Persistence
NE,2,3.5,3.5,0.5,Low Persistence
SY,22,5.909090909090909,2.5,0.5,Low Persistence
VU,2,7,7,0.5,Low Persistence
CM,23,7.086956521739131,3,0.4782608695652174,Low Persistence
SA,934,6.728051391862955,3,0.4743040685224839,Low Persistence
AF,15,7.8,4,0.4666666666666667,Low Persistence
AM,18,5.388888888888889,3,0.4444444444444444,Low Persistence
KW,18,6.666666666666667,3.5,0.4444444444444444,Low Persistence
PK,300,6.973333333333334,3,0.43333333333333335,Low Persistence
VN,75,6.8,4,0.4266666666666667,Low Persistence
SD,59,6.864406779661017,3,0.423728813559322,Low Persistence
BD,128,7.2109375,4,0.421875,Low Persistence
JM,22,6.2272727272727275,3,0.4090909090909091,Low Persistence
